"","symbol","date","open","high","low","close","volume","adjusted","ma_5","ma_30","vol_5","vol_30","rsi","sar","trend","adx"
"1","AMZN",2022-06-16,104.470001220703,104.580001831055,102.01000213623,103.660003662109,82186300,103.660003662109,105.391999816895,112.295900217692,3.11382776183757,6.96701703640298,28.8651517989717,124.823137996704,-21.1631343345947,27.7897455618814
"2","AMZN",2022-06-17,102.800003051758,106.980003356934,102.51000213623,106.220001220703,99772100,106.220001220703,104.705999755859,111.956333669027,2.1786303423169,7.00786929156648,33.4986423562069,123.419549735212,-17.1995485145093,27.1163070085438
"3","AMZN",2022-06-21,108.199996948242,111.629997253418,103.559997558594,108.680000305176,70901200,108.680000305176,105.708000183105,111.753250376383,2.6779225843332,7.01172175268238,38.5436798788061,122.10017676941,-13.4201764642344,25.6085197454692
"4","AMZN",2022-06-22,107.430000305176,112.129997253418,107.019996643066,108.949996948242,60040100,108.949996948242,107.036000061035,111.758616892497,2.16975115397995,7.0094360301498,39.3273077959805,120.859966181556,-11.9099692333139,24.1180041300379
"5","AMZN",2022-06-23,110.389999389648,113,107.930000305176,112.440002441406,64345300,112.440002441406,107.990000915527,111.877983601888,3.28184324180608,6.98881538205984,48.5666967054609,119.694168228973,-7.25416578756706,22.5701945443162
"6","AMZN",2022-06-24,112.379997253418,116.709999084473,111.430000305176,116.459999084473,69867600,116.459999084473,110.55,112.247583516439,3.97825327436485,6.92579290788292,58.6295587527002,118.598318153545,-2.13831906907281,21.4515294968637
"7","AMZN",2022-06-27,117.089996337891,117.980003356934,112.699996948242,113.220001220703,62133200,113.220001220703,111.95,112.457233683268,3.23597023896321,6.85411328236979,52.9408378167405,117.980003356934,-4.76000213623047,20.6293745648157
"8","AMZN",2022-06-28,113.5,114.849998474121,107.040000915527,107.400001525879,74942900,107.400001525879,111.694000244141,112.268733723958,3.5905404288622,6.91460100042893,43.4291318452295,117.980003356934,-10.5800018310547,19.5075204492627
"9","AMZN",2022-06-29,107.379997253418,110.98999786377,106.910003662109,108.919998168945,66375300,108.919998168945,111.688000488281,112.205716959635,3.59629238678915,6.93692756422821,48.1597693023491,116.987003173828,-8.06700500488282,18.4884345573709
"10","AMZN",2022-06-30,108.110000610352,108.180000305176,102.519996643066,106.209999084473,97679400,106.209999084473,110.441999816895,111.900433603923,4.2840891623032,6.99422780957151,44.234915820339,116.053583001709,-9.84358391723633,18.2739051694774
"11","AMZN",2022-07-01,106.290000915527,109.75,105.849998474121,109.559997558594,73021200,109.559997558594,109.061999511719,111.98201675415,2.66708119439142,6.95059199788595,52.77508977202,115.176168039917,-5.61617048132324,17.7449563589389
"12","AMZN",2022-07-05,107.599998474121,114.080001831055,106.319999694824,113.5,76583700,113.5,109.117999267578,112.188050079346,2.7768902863046,6.89902092689054,60.8225336002288,114.351397975833,-0.851397975832512,16.5415706919619
"13","AMZN",2022-07-06,113.209999084473,115.480003356934,112.01000213623,114.330001831055,66958900,114.330001831055,110.503999328613,112.412683359782,3.37094023545163,6.85374178880292,62.2562470265863,101.430000305176,12.9000015258789,15.6764015454367
"14","AMZN",2022-07-07,113.849998474121,116.98999786377,113.48999786377,116.330001831055,57872300,116.330001831055,111.986000061035,112.705116780599,4.0590813897382,6.82652462435532,65.6453332468268,101.430000305176,14.9000015258789,15.144365885273
"15","AMZN",2022-07-08,114.599998474121,116.580001831055,113.690002441406,115.540000915527,45719700,115.540000915527,113.852000427246,113.086450195312,2.63455474763097,6.64640884822627,63.6304882156983,102.05240020752,13.4876007080078,14.6503327722639
"16","AMZN",2022-07-11,114.080001831055,114.300003051758,110.870002746582,111.75,53487600,111.75,114.290000915527,113.252283477783,1.78895289946446,6.54479119354505,51.2078848887923,102.64990411377,9.10009588623048,13.6289441070309
"17","AMZN",2022-07-12,112.160003662109,113.230003356934,108.339996337891,109.220001220703,54280300,109.220001220703,113.434001159668,113.190366872152,2.92483022818574,6.57479268228339,43.8068024786762,103.22350786377,5.9964933569336,13.1868506250174
"18","AMZN",2022-07-13,107.029998779297,111.779998779297,106.01000213623,110.400001525879,61353800,110.400001525879,112.648001098633,113.032150268555,3.14371927618413,6.58320164800382,46.4172044718489,103.77416746377,6.62583406210938,13.2120504706545
"19","AMZN",2022-07-14,110.23999786377,111.180000305176,107.580001831055,110.629997253418,51163100,110.629997253418,111.508000183105,112.712833404541,2.42636988310405,6.45412143331181,46.2320188115865,104.30280067977,6.32719657364844,13.2354503273175
"20","AMZN",2022-07-15,112.5,115.589996337891,111.589996337891,113.550003051758,84317800,113.550003051758,111.110000610352,112.441700236003,1.63323381274007,6.23125736421356,55.8719581829316,104.81028856713,8.73971448462828,12.3478873678968
"21","AMZN",2022-07-18,115,117.23999786377,113.150001525879,113.76000213623,59115400,113.76000213623,111.512001037598,112.050000254313,2.02945176705371,5.73061017892886,58.3786096099831,105.297476938995,8.46252519723534,11.8670286095069
"22","AMZN",2022-07-19,115.699996948242,118.949996948242,114.029998779297,118.209999084473,60990000,118.209999084473,113.310000610352,111.912000274658,3.15913755067623,5.51999875090699,71.142751510821,106.014028194482,12.1959708899911,11.7664039672955
"23","AMZN",2022-07-20,118.620002746582,123.480003356934,118.319999694824,122.769996643066,71268300,122.769996643066,115.783999633789,111.84466679891,4.75238557684114,5.36771437524414,78.7630678544989,107.048905694782,15.721090948284,12.4895936986245
