"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.01,4,1,0.8,0.1,0.6,100,40.8967868224909,0.984647160345423,39.1114727228818,0.43326348028384,0.00324329441331015,0.451596412139446
"10",0.03,4,1,0.8,0.1,0.6,100,6.00324983964001,0.995303058074621,5.36695635441725,0.110036180429354,0.000627397291928957,0.151125640353653
"19",0.04,4,1,0.8,0.1,0.6,100,2.72876636434899,0.996733922896152,2.22346673010374,0.164474224630748,0.000636050057998486,0.0607266564463305
"28",0.05,4,1,0.8,0.1,0.6,100,1.68774736768137,0.997414558266576,1.29892105020466,0.135822068052431,0.000392168367847613,0.0652427925906054
"37",0.06,4,1,0.8,0.1,0.6,100,1.53322946439672,0.997397356236454,1.12449288035156,0.236174031809177,0.00068707567334473,0.169927120341902
"46",0.07,4,1,0.8,0.1,0.6,100,1.40864468673264,0.99767106410456,1.03623133191942,0.221233137544436,0.000686219093121709,0.111535939131479
"4",0.01,5,1,0.8,0.1,0.6,100,40.8771710080122,0.984905209729464,39.1021438292827,0.44478659757424,0.00240638978324667,0.451963048926576
"13",0.03,5,1,0.8,0.1,0.6,100,5.99574520793559,0.995457974907044,5.37062532114062,0.206743351985948,0.000617154789781837,0.20164382110789
"22",0.04,5,1,0.8,0.1,0.6,100,2.75302462335265,0.996836191092279,2.25510748838767,0.140951562603565,0.000418189725513317,0.0776297835430223
"31",0.05,5,1,0.8,0.1,0.6,100,1.75666553967593,0.997312968536287,1.34154049029858,0.163125838517982,0.000503284115716242,0.106502986335772
"40",0.06,5,1,0.8,0.1,0.6,100,1.37887804389151,0.997904507732746,1.00970285518521,0.16039249942311,0.000412684880527196,0.0582802359363556
"49",0.07,5,1,0.8,0.1,0.6,100,1.31401212397307,0.998027275903045,0.967741893731209,0.102191633153177,0.000239747696919386,0.0404951081939459
"7",0.01,7,1,0.8,0.1,0.6,100,40.9146088682883,0.984568182702501,39.1472256947997,0.412628451556743,0.00264149829881349,0.418813775379001
"16",0.03,7,1,0.8,0.1,0.6,100,6.02594766034904,0.994737478950305,5.37185683605982,0.0614869343880007,0.000791573412529159,0.14452050924595
"25",0.04,7,1,0.8,0.1,0.6,100,2.85297987485727,0.996310356714843,2.32045256527272,0.182404164691026,0.000942988396941965,0.079066280238707
"34",0.05,7,1,0.8,0.1,0.6,100,1.70614435901421,0.997585385395034,1.30418701323653,0.0763475849136223,0.000301175112615111,0.0393872503058158
"43",0.06,7,1,0.8,0.1,0.6,100,1.41585124313361,0.997822704107288,1.04403658584968,0.236488365869986,0.000680761727027635,0.0989303699582417
"52",0.07,7,1,0.8,0.1,0.6,100,1.38493453735851,0.997805049349657,1.01429755657498,0.15361761363065,0.000435361458080582,0.115412284442348
"2",0.01,4,1,0.8,0.1,0.6,150,25.1192700201911,0.988017074023796,23.8571205548962,0.300840203965168,0.00263515054960905,0.321846364332824
"11",0.03,4,1,0.8,0.1,0.6,150,2.0419360948654,0.99735495304297,1.59667090723165,0.137185543344625,0.000368920018409025,0.102465719151876
"20",0.04,4,1,0.8,0.1,0.6,150,1.4665633596671,0.997657999884756,1.08028849571671,0.182250058575606,0.00054540057478934,0.0711446119888546
"29",0.05,4,1,0.8,0.1,0.6,150,1.32135180819136,0.997966449097014,0.986113333877757,0.114332319032983,0.000341788969043409,0.0627746891753243
"38",0.06,4,1,0.8,0.1,0.6,150,1.37594635406534,0.997764520409397,1.00397390618002,0.219919712028573,0.000648627751358626,0.154949818990685
